Tên thực phẩm,Nâng lượng (kcal),Nước (g),Đạm (g),Béo (g),Bột (g),Xơ(g)
Bún ăn liền,348,22,6.4,9,60,0.5
Cháo ăn liền,346,17,6.8,4.4,70,0.5
Mì ăn liền,435,14,9.7,19.5,55.1,0.5
Miến ăn liền,367,18,3.8,9.6,66.4,0.5
Phở ăn liển,342,18,6.8,4.2,69.3,0.5
Bột sắn dây,340,14.2,0.7,0,84.3,0.8
Củ dong,119,66.4,1.4,0,28.4,2.4
Củ sắn,152,59.5,1.1,0.2,36.4,1.5
Củ từ,92,74.9,1.5,0,21.5,1.2
Khoai lang,119,67.7,0.8,0.2,28.5,1.3
Khoai lang nghệ,116,69.8,1.2,0.3,27.1,0.8
Khoai môn,109,70.7,1.5,0.2,25.2,1.2
Khoai tây,92,74.5,2,0,21,1
Khoai tây chiên,525,6.6,2.2,35.4,49.3,6.3
Miến dong,332,14.3,0.6,0.1,82.2,1.5
Bơ,756,15.4,0.5,83.5,0.5,0
Dầu thực vật,897,0.3,0,99.7,0,0
Mỡ lợn nước,896,0.4,0,99.6,0,0
Cá thu hộp,207,62.9,24.8,12,0,0
Cá trích hộp,233,59.2,22.3,14.4,3.5,0
Đậu phông chiên,680,4.5,25.7,59.5,10.3,0
Mứt đu đủ,178,53.4,0.4,0,44.1,2
Mứt thơm,208,47.6,0.5,0,51.5,0.4
Nhãn hộp,62,83.2,0.5,0,15,1
Nước thơm,39,89.8,0.3,0,9.4,0.4
Thịt bò hộp,251,62.6,16.4,20.6,0,0
Thịt gà hộp,273,59.8,17,22.8,0,0
Thịt heo hộp,344,50.4,17.3,29.3,2.7,0
Thơm hộp,56,85.8,0.3,0,13.7,0.2
Vải hộp,60,83.6,0.4,0,14.7,1.1
Bánh in chay,376,6.1,3.2,0.3,90.2,0.2
Bánh men,369,12.1,9.6,3.7,74.2,0.2
Bánh mì khô,346,14,12.3,1.3,71.3,0.8
Bánh sôcôla,449,9.5,3.9,17.6,68.8,0
Bánh thỏi sôcôla,543,1.5,4.9,30.4,62.5,0
Đường cát trắng,397,0.7,0,0,99.3,0
Kẹo cà phê,378,7.2,0,1.3,91.5,0
Kẹo đậu phông,449,6.2,10.3,16.5,64.8,2.2
Kẹo dừa mềm,415,9.1,0.6,12.2,75.6,2.5
Kẹo ngậm bạc hà,268,32.8,5.2,0,61.9,0
Kẹo sôcôla,388,7.5,1.6,4.6,85.1,1.2
Kẹo sữa,390,11.8,2.9,7.3,78,0
Mật ong,327,18.3,0.4,0,81.3,0
Cari bột,283,28.3,8.2,7.3,46,8.9
Gừng tươi,25,90.1,0.4,0,5.8,3.3
Mắm tôm đặc,73,83.7,14.8,1.5,0,0
Muối,0,99.8,0,0,0,0
Nghệ khô,360,16.1,6.3,5.1,72.1,0
Nghệ tươi,22,88.4,0.3,0,5.2,6.1
Nước mắm,28,87.3,7.1,0,0,0
Tôm chua,68,84.6,8.7,1.2,5.5,0
Tương ớt,37,90.4,0.5,0.5,7.6,0.9
Xì dầu,28,92.8,7,0,0,0
Cùi dừa già,368,46.8,4.8,36,6.2,4.2
Cùi dừa non,40,88.6,3.5,1.7,2.6,3.5
Đậu đen (hạt),325,13.6,24.2,1.7,53.3,4
Đậu Hà lan (hạt),342,9.8,22.2,1.4,60.1,6
Đậu phông,573,6.6,27.5,44.5,15.5,2.5
Đậu phụ,95,81.9,10.9,5.4,0.7,0.4
Đậu tương (đậu nành),400,13.1,34,18.4,24.6,4.5
Đậu xanh,328,12.4,23.4,2.4,53.1,4.7
Hạt điều,605,5.5,18.4,46.3,28.7,0.6
Mè,568,5.4,20.1,46.4,17.6,3.5
Sữa đậu nành,28,94.3,3.1,1.6,0.4,0.1
Bánh bao,219,45.3,6.1,0.5,47.5,0.5
Bánh đúc,52,87.3,0.9,0.3,11.3,0.1
Bánh mì,249,37,7.9,0.8,52.6,0.2
Bánh phở,141,64.2,3.2,0,32.1,0
Bánh tráng mỏng,333,16.3,4,0.2,78.9,0.5
Bắp tươi,196,52.6,4.1,2.3,39.6,1.2
Bún,110,72,1.7,0,25.7,0.5
Gạo nếp cái,346,13.6,8.2,1.5,74.9,0.6
Gạo tẻ,344,13.5,7.8,1,76.1,0.4
Ngô tươi,196,51.8,4.1,2.3,39.6,1.2
Ngô vàng hạt vàng,354,13.8,8.6,4.7,69.4,2
Bia,43,89.4,1.6,0,9,0
CocaCola,42,89.6,0,0,10.4,0
Rượu nếp,166,58.1,4,0,37.7,0.2
Bưởi,30,91,0.2,0,7.3,0.7
Cam,37,88.7,0.9,0,8.4,1.4
Chanh,23,92.4,0.9,0,4.8,1.3
Chôm chôm,72,80.3,1.5,0,16.4,1.3
Chuối tây,66,83.2,0.9,0.3,15,0
Chuối tiêu,97,74.4,1.5,0.2,22.2,0.8
Đu đủ chín,35,90,1,0,7.7,0.6
Dưa hấu,16,95.5,1.2,0.2,2.3,0.5
Dứa ta,29,91.4,0.8,0,6.5,0.8
Hồng xiêm,48,85.6,0.5,0.7,10,2.5
Lê,45,87.8,0.7,0.2,10.2,0.6
Mận,20,94,0.6,0.2,3.9,0.7
Mít dai,48,85.3,0.6,0,11.4,1.2
Mít mật,62,82.1,1.5,0,14,1.2
Mơ,46,87,0.9,0,10.5,0.8
Na,64,82.4,1.6,0,14.5,0.8
Nhãn,48,86.2,0.9,0,11,1
Nho ta (nho chua),14,93.5,0.4,0,3.1,2.4
Quýt,38,89.4,0.8,0,8.6,0.6
Táo ta,37,89.4,0.8,0,8.5,0.7
Táo tây,47,87.1,0.5,0,11.3,0.6
Vải,43,87.7,0.7,0,10,1.1
Vú sữa,42,86.4,1,0,9.4,2.3
Xoài chín,69,82.5,0.6,0.3,15.9,0
Bầu,14,95.1,0.6,0,2.9,1
Bí đao (bí xanh),12,95.4,0.6,0,2.4,1
Bí ngô,24,92.6,0.3,0,5.6,0.7
Cà chua,19,93.9,0.6,0,4.2,0.8
Cà pháo,20,92.5,1.5,0,3.6,1.6
Cà rốt,38,88.4,1.5,0,8,1.2
Cà tím,22,92.4,1,0,4.5,1.5
Cải bắp,29,89.9,1.8,0,5.4,1.6
Cải cúc,14,93.7,1.6,0,1.9,2
Cải thìa (cải trắng),16,93.1,1.4,0,2.6,1.8
Cải xanh,15,93.6,1.7,0,2.1,1.8
Cần ta,10,94.9,1,0,1.5,1.5
Củ cải trắng,21,92,1.5,0,3.7,1.5
Đậu cô ve,73,81.1,5,1,11,1
Dọc mùng,5,96,0.4,0,0.8,2
Dưa cải bắp,18,90.8,1.2,0,3.3,1.6
Dưa cải bẹ,17,90,1.8,0,2.4,2.1
Dưa chuột,15,94.9,0.8,0,3,0.7
Gấc,122,66.9,20,0,10.5,1.8
Giá đậu xanh,43,86.4,5.5,0,5.3,2
Hành lá (hành hoa),22,92.3,1.3,0,4.3,0.9
Mãng chua,11,92.7,1.4,0,1.4,4.1
Mộc nhĩ,304,10.8,10.6,0.2,65,7
Mướp,16,95,0.9,0,3,0.5
Nấm hương khô,274,12.7,35,4.5,23.5,17
Ớt vàng to,28,90.5,1.3,0,5.7,1.4
Ran kinh giới,22,89.9,2.7,0,2.8,3.6
Rau bí,18,93.1,2.7,0,1.7,1.7
Rau đay,24,91.1,2.8,0,3.2,1.5
Rau khoai lang,22,91.8,2.6,0,2.8,1.4
Rau mồng tơi,14,92.9,2,0,1.4,2.5
Rau mùi,13,92.9,2.6,0,0.7,1.8
Rau muống,23,91.8,3.2,0,2.5,1
Rau ngót,35,86,5.3,0,3.4,2.5
Rau răm,30,86.3,4.7,0,2.8,3.8
Rau rút,28,90.2,5.1,0,1.8,1.9
Rau thơm,18,91.4,2,0,2.4,3
Su hào,36,87.7,2.8,0,6.3,1.7
Su su,18,93.8,0.8,0,3.7,1
Súp lơ,30,90.6,2.5,0,4.9,0.9
Tía tô,25,88.9,2.9,0,3.4,3.6
Sữa bò tươi,74,85.6,3.9,4.4,4.8,0
Sữa bột tách béo,357,1.6,35,1,52,0
Sữa bột toàn phẩn,494,1.8,27,26,38,0
Sữa chua,61,88.5,3.3,3.7,3.6,0
Sữa đặc có đường,336,24.9,8.1,8.8,56,0
Sữa mẹ,61,88.4,1.5,3,7,0
Ba tê,326,47.4,10.8,24.6,15.4,0
Bao tử bò,97,80.7,14.8,4.2,0,0
Bao tử heo,85,82.3,14.6,2.9,0,0
Cật bò,67,85,12.5,1.8,0.3,0
Cật heo,81,82.6,13,3.1,0.3,0
Chả bò,357,52.7,13.8,33.5,0,0
Chà bông,396,19.3,53,20.4,0,0
Chả lợn,517,32.5,10.8,50.4,5.1,0
Chả lụa,136,73,21.5,5.5,0,0
Chả quế,416,44.7,16.2,39,0,0
Chân giò lợn (bỏ xương),230,64.6,15.7,18.6,0,0
Da heo,118,74,23.3,2.7,0,0
Dăm bông heo,318,48.5,23,25,0.3,0
Đẩu heo,335,55.3,13.4,31.3,0,0
Đuôi bò,137,73.6,19.7,6.5,0,0
Đuôi heo,467,42.1,10.8,47.1,0,0
Ếch,90,74.8,20,1.1,0,0
Gan bò,110,75.8,17.4,3.1,3,0
Gân chân bò,124,69.5,30.2,0.3,0,0
Gan gà,111,73.9,18.2,3.4,2,0
Gan heo,116,72.8,18.8,3.6,2,0
Gan vịt,122,75.2,17.1,4.7,2.8,0
Giò bò,357,48.7,13.8,33.5,0,0
Giò lụa,136,72,21.5,5.5,0,0
Giò thủ,553,29.7,16,54.3,0,0
Huyết bò,75,81.3,18,0.2,0.4,0
Huyết heo luộc,44,89.2,10.7,0.1,0,0
Huyết heo sống,25,94,5.7,0.1,0.2,0
Lạp xưởng,585,18.6,20.8,55,1.7,0
Lòng heo (ruột già),167,77.1,6.9,15.1,0.8,0
Lưỡi bò,164,73.8,13.6,12.1,0.2,0
Lưỡi heo,178,71.5,14.2,12.8,1.4,0
Mề gà,99,76.6,21.3,1.3,0.6,0
Nem chua,137,70.2,21.7,3.7,4.3,0
Nhộng,111,79.6,13,6.5,0,0
Óc bò,124,80.7,9,9.5,0.5,0
Óc heo,123,80.8,9,9.5,0.4,0
Patê,326,49.1,10.8,24.6,15.4,0
Phèo heo,44,90.6,7.2,1.3,0.8,0
Sườn heo bỏ xương,187,68,17.9,12.8,0,0
Tai heo,121,74.9,21,4.1,0,0
Thịt bê nạc,85,79.3,20,0.5,0,0
Thịt bò,118,74.4,21,3.8,0,0
Thịt bò khô,239,41.7,51,1.6,5.2,0
Thịt dê nạc,122,74.9,20.7,4.3,0,0
Thịt gà ta,199,65.4,20.3,13.1,0,0
Thịt gà tây,218,63.2,20.1,15.3,0,0
Thịt heo ba chỉ,260,60.7,16.5,21.5,0,0
Thịt heo mỡ,394,48,14.5,37.3,0,0
Thịt heo nạc,139,73.8,19,7,0,0
Thịt lơn nạc,139,72.8,19,7,0,0
Thịt mông chó,338,52.9,16,30.4,0,0
Thịt ngỗng,409,45.9,14,39.2,0,0
Thịt thỏ,158,70.2,21.5,8,0,0
Thịt vai chó,230,64.3,18,17.6,0,0
Thịt vịt,267,59.3,17.8,21.8,0,0
Tim bò,89,81.2,15,3,0.6,0
Tim gà,114,78.3,16,5.5,0,0
Tim heo,89,81.3,15.1,3.2,0,0
Xúc xích,535,25.3,27.2,47.4,0,0
Ba khía muối,83,77.8,14.2,2.9,0,0
Bánh phổng tôm,676,4.9,1.6,59.2,34.1,0
Cá bống,70,83.2,15.8,0.8,0,0
Cá chép,96,78.4,16,3.6,0,0
Cá đối,108,77,19.5,3.3,0,0
Cá giếc,87,78.7,17.7,1.8,0,0
Cá hổi,136,72.5,22,5.3,0,0
Cá khô,208,52.6,43.3,3.9,0,0
Cá lóc,97,78.8,18.2,2.7,0,0
Cá mè,144,75.1,15.4,9.1,0,0
Cá mỡ,151,72.5,16.8,9.3,0,0
Cá mòi,124,76.2,17.5,6,0,0
Cá nạc,80,79.8,17.5,1.1,0,0
Cá ngừ,87,77.9,21,0.3,0,0
Cá nục,111,76.3,20.2,3.3,0,0
Cá phèn,104,79.5,15.9,4.5,0,0
Cá quả (cá lóc),97,77.7,18.2,2.7,0,0
Cá rô đồng,126,74,19.1,5.5,0,0
Cá rô phí,100,76.6,19.7,2.3,0,0
Cá thu,166,69.5,18.2,10.3,0,0
Cá trắm cỏ,91,79.2,17,2.6,0,0
Cá trê,173,71.4,16.5,11.9,0,0
Cá trôi,127,74.1,18.8,5.7,0,0
Chà bông cá lóc,312,26.5,65.7,4.1,3,0
Cua biển,103,73.9,17.5,0.6,7,0
Cua đồng,87,68.9,12.3,3.3,2,0
Ghẹ,54,87.2,11.9,0.7,0,0
Hải sâm,90,77.9,21.5,0.3,0.2,0
Hến,45,88.6,4.5,0.7,5.1,0
Lươn,94,77.2,20,1.5,0,0
Mực khô,291,32.6,60.1,4.5,2.5,0
Mực tươi,73,81,16.3,0.9,0,0
Ốc bươu,84,78.5,11.1,0.7,8.3,0
Ốc nhồi,84,76,11.9,0.7,7.6,0
Ốc vặn,72,77.6,12.2,0.7,4.3,0
Sò,51,87.1,8.8,0.4,3,0
Tép gạo,58,83.4,11.7,1.2,0,0
Tép khô,269,20.4,59.8,3,0.7,0
Tôm biển,82,80.3,17.6,0.9,0.9,0
Tôm đồng,90,74.7,18.4,1.8,0,0
Tôm khô,347,11.4,75.6,3.8,2.5,0
Trai,38,89.1,4.6,1.1,2.5,0
Lòng đỏ trứng gà,327,51.3,13.6,29.8,1,0
Lòng đỏ trứng vịt,368,44.3,14.5,32.3,4.8,0
Lòng trắng trứnggà,46,88.2,10.3,0.1,1,0
Lòng trắng trứngvịt,50,87.6,11.5,0.1,0.8,0
Trứng gà,166,70.8,14.8,11.6,0.5,0
Trứng vịt,184,68.7,13,14.2,1,0
Trứng vịt lộn,182,66.1,13.6,12.4,4,0
